Gene	Virus	Virus_num	Virally_targeted
TRIM26	Dengue virus 2,Human cytomegalovirus,Human papillomavirus 31,Kaposi's sarcoma-associated herpesvirus,Zika virus	5	Specific
TRIM27	Chikungunya virus,Epstein-Barr virus,Hepatitis C virus,Human cytomegalovirus,Influenza A virus (H3N2),Sindbis virus	6	Specific
TRIM28	Ebola virus,Epstein-Barr virus,Human papillomavirus 16,Human papillomavirus 1a,Human papillomavirus 3,Human papillomavirus 33,Human papillomavirus 8,Human papillomavirus 9,Human respiratory syncytial virus,Influenza A virus (H1N1),Influenza A virus (H3N2),Kaposi's sarcoma-associated herpesvirus,La Crosse virus,Measles virus 	14	Specific
TRIM29	Human cytomegalovirus,Human papillomavirus 39,Influenza A virus (H3N2)	3	Specific
TRIM3	Human papillomavirus 16,SARS-CoV-2	2	Specific
TRIM32	Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 33,Human papillomavirus 38,Human papillomavirus 6,Human papillomavirus 6b,Human papillomavirus 8,Influenza A virus (H1N1),SARS-CoV-2	11	Specific
TRIM37	Murid herpesvirus 4	1	Specific
TRIM38	Macaca mulatta polyomavirus 1,Merkel cell polyomavirus	2	Specific
TRIM4	Influenza A virus (H1N1),SARS-CoV-1	2	Specific
TRIM41	Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Kaposi's sarcoma-associated herpesvirus	4	Specific
TRIM44	Hepatitis C virus	1	Specific
TRIM47	SARS-CoV-2	1	Specific
TRIM5	Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Moloney murine leukemia virus	4	Specific
TRIM54	Human papillomavirus 16	1	Specific
TRIM56	Bovine viral diarrhea virus 1,Bovine viral diarrhea virus 2,Classical swine fever virus	3	Specific
TRIM59	MERS-CoV,SARS-CoV-2	2	Specific
TRIM62	Dengue virus 2,Hepatitis C virus	2	Specific
TRIM65	Epstein-Barr virus	1	Specific
TRIM66	Influenza A virus (H1N1)	1	Specific
TRIM7	SARS-CoV-2	1	Specific
TRIM72	Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 33,Human papillomavirus 38,Human papillomavirus 8	5	Specific
TRIM8	Influenza A virus (H1N1)	1	Specific
TRIM9	Human papillomavirus 16,MERS-CoV,SARS-CoV-1	3	Specific
TRIO	Epstein-Barr virus,Hepatitis C virus	2	Specific
TRIOBP	Hepatitis C virus,Influenza A virus (H1N1)	2	Specific
TRIP11	Dengue virus 2,Hepatitis C virus,Murid herpesvirus 4,Vaccinia virus	4	Specific
TRIP12	Human cytomegalovirus,Human papillomavirus 33,Influenza A virus (H1N1)	3	Specific
TRIP13	Alphapapillomavirus 9,Dengue virus 2,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 16,Human respiratory syncytial virus,Influenza A virus (H1N1)	7	Specific
TRIP4	Human cytomegalovirus,MERS-CoV,Zika virus	3	Specific
TRIP6	Human cytomegalovirus,Human herpesvirus 1,Human T-cell leukemia virus 1,Influenza A virus (H1N1),Influenza A virus (H3N2),SARS-CoV-2	6	Specific
TRIR	Influenza A virus (H1N1),SARS-CoV-1	2	Specific
TRMT1	Human cytomegalovirus,Influenza A virus (H1N1),SARS-CoV-1,SARS-CoV-2	4	Specific
TRMT10A	Zika virus	1	Specific
TRMT10C	Kaposi's sarcoma-associated herpesvirus	1	Specific
TRMT112	Dengue virus 2,Human cytomegalovirus,Human immunodeficiency virus 1	3	Specific
TRMT1L	Ebola virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 31,Influenza A virus (H1N1)	5	Specific
TRMT2A	Influenza A virus (H1N1),MERS-CoV,SARS-CoV-2	3	Specific
TRMT6	Zika virus	1	Specific
TRMT61A	Kaposi's sarcoma-associated herpesvirus,Zika virus	2	Specific
TRNAU1AP	Human papillomavirus 5,Influenza A virus (H3N2)	2	Specific
TRNT1	Influenza A virus (H3N2)	1	Specific
TRO	Influenza A virus (H1N1)	1	Specific
TRPA1	Human papillomavirus 16,Human papillomavirus 6b	2	Specific
TRPC4AP	Chandipura virus 	1	Specific
TRPM4	Human papillomavirus 6b,SARS-CoV-2	2	Specific
TRPM7	Kaposi's sarcoma-associated herpesvirus	1	Specific
TRPS1	Human immunodeficiency virus 1	1	Specific
TRPT1	Macaca mulatta polyomavirus 1	1	Specific
TRPV2	Epstein-Barr virus,Human adenovirus C,Human cytomegalovirus,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b	6	Specific
TRPV4	Human cytomegalovirus,Human papillomavirus 16,Human papillomavirus 18	3	Specific
TRRAP	Human adenovirus C,Human cytomegalovirus,Human immunodeficiency virus 1	3	Specific
TRUB1	Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 1a,Human papillomavirus 3,Human papillomavirus 32,Human papillomavirus 33,Human papillomavirus 39,Human papillomavirus 5,Human papillomavirus 6,Human papillomavirus 8,Human papillomavirus 9,Influenza A virus (H1N1)	13	Specific
TRUB2	Influenza A virus (H1N1),Influenza A virus (H3N2),Kaposi's sarcoma-associated herpesvirus	3	Specific
TSC1	Human cytomegalovirus,Influenza A virus (H1N1)	2	Specific
TSC2	Human cytomegalovirus,Human papillomavirus 16,Human papillomavirus 32,Influenza A virus (H1N1)	4	Specific
TSC22D1	Human cytomegalovirus	1	Specific
TSC22D3	Human papillomavirus 8	1	Specific
TSC22D4	Epstein-Barr virus,Human herpesvirus 1,Human T-cell leukemia virus 1	3	Specific
TSEN54	Human papillomavirus 18,Human papillomavirus 1a,Human papillomavirus 33,Influenza A virus (H3N2)	4	Specific
TSFM	Human cytomegalovirus	1	Specific
TSG101	Epstein-Barr virus,Hendra virus,Hepatitis C virus,Hepatitis E virus,Human herpesvirus 1,Human immunodeficiency virus 1,Human immunodeficiency virus 2,Human spumaretrovirus,Human T-cell leukemia virus 1,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,Simian immunodeficiency virus	12	Specific
TSGA10	Sandfly fever sicilian virus	1	Specific
TSHZ3	Epstein-Barr virus	1	Specific
TSKU	Human cytomegalovirus,SARS-CoV-2	2	Specific
TSN	Human papillomavirus 33,Influenza A virus (H3N2),SARS-CoV-1	3	Specific
TSNARE1	Epstein-Barr virus	1	Specific
TSNAXIP1	Influenza A virus (H3N2)	1	Specific
TSPAN14	SARS-CoV-2	1	Specific
TSPAN5	Macaca mulatta polyomavirus 1	1	Specific
TSPAN7	Hepatitis E virus,Human immunodeficiency virus 1	2	Specific
TSPO	Human herpesvirus 1	1	Specific
TSPOAP1	Hepatitis C virus,Human herpesvirus 1,Kaposi's sarcoma-associated herpesvirus	3	Specific
TSPY1	Human adenovirus C	1	Specific
TSPYL1	Human cytomegalovirus,Human herpesvirus 1,Human immunodeficiency virus 1,Merkel cell polyomavirus	4	Specific
TSPYL2	Vaccinia virus	1	Specific
TSPYL4	Human cytomegalovirus	1	Specific
TSR1	Dengue virus 2,Ebola virus,Human cytomegalovirus,Human papillomavirus 31,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1)	7	Specific
TSR2	Human herpesvirus 1,Human papillomavirus 5,Human papillomavirus 8	3	Specific
TSTA3	Human cytomegalovirus,Human papillomavirus 8	2	Specific
TSTD2	Human papillomavirus 16,Human papillomavirus 5	2	Specific
TTC1	Dengue virus 2,Measles virus 	2	Specific
TTC12	Epstein-Barr virus,Influenza A virus (H1N1)	2	Specific
TTC13	Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 11,Influenza A virus (H1N1),SARS-CoV-2	5	Specific
TTC16	Influenza A virus (H1N1)	1	Specific
TTC17	Human immunodeficiency virus 1,SARS-CoV-2	2	Specific
TTC19	Influenza A virus (H1N1)	1	Specific
TTC23	Human T-cell leukemia virus 1	1	Specific
TTC23L	Human T-cell leukemia virus 1	1	Specific
TTC27	Human cytomegalovirus,Influenza A virus (H1N1),Influenza A virus (H3N2),MERS-CoV,SARS-CoV-1,SARS-CoV-2	6	Specific
TTC3	Influenza A virus (H1N1)	1	Specific
TTC37	Dengue virus 2	1	Specific
TTC38	Epstein-Barr virus,Influenza A virus (H1N1)	2	Specific
TTC39B	Human cytomegalovirus,Influenza A virus (H1N1)	2	Specific
TTC39C	Human cytomegalovirus	1	Specific
TTC4	Hepatitis C virus	1	Specific
TTC7B	Chikungunya virus,Human cytomegalovirus,Sindbis virus	3	Specific
TTF1	Human papillomavirus 18,Human papillomavirus 9,SARS-CoV-2	3	Specific
TTI1	Dengue virus 2,Human respiratory syncytial virus,Influenza A virus (H1N1),SARS-CoV-1,SARS-CoV-2	5	Specific
TTI2	Hepatitis C virus,Human cytomegalovirus	2	Specific
TTLL7	Hepatitis C virus	1	Specific
TTN	Human cytomegalovirus,Human papillomavirus 31,Influenza A virus (H1N1)	3	Specific
TTYH3	HCoV-229E,Human cytomegalovirus,SARS-CoV-2	3	Specific
TUBA1A	Ebola virus,Epstein-Barr virus,Hendra virus,Human cytomegalovirus,Human herpesvirus 1,Human immunodeficiency virus 1,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,La Crosse virus,Lake Victoria marburgvirus ,Lymphocytic choriomeningitis virus,Mammalian orthoreovirus 1,Mammalian orthoreovirus 3,Measles virus ,Murid herpesvirus 1,Newcastle disease virus,Rift valley fever virus,Sandfly fever sicilian virus,Sendai virus,Vaccinia virus,Zika virus	21	Pan
TUBA1B	Dengue virus 2,Epstein-Barr virus,Hepatitis C virus,Human immunodeficiency virus 1,Human immunodeficiency virus 2,Human respiratory syncytial virus,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Measles virus 	9	Specific
TUBA1C	Dengue virus 2,Ebola virus,Hendra virus,Human cytomegalovirus,Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 16,Human respiratory syncytial virus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,La Crosse virus,Lake Victoria marburgvirus ,Lymphocytic choriomeningitis virus,Mammalian orthoreovirus 1,Mammalian orthoreovirus 3,Measles virus ,Murid herpesvirus 1,Newcastle disease virus,Nipah virus,Rift valley fever virus,Sandfly fever sicilian virus,Sendai virus,Vaccinia virus	23	Pan
TUBA3C	Human papillomavirus 16,Kaposi's sarcoma-associated herpesvirus	2	Specific
TUBA3D	Human immunodeficiency virus 1	1	Specific
TUBA3E	Human cytomegalovirus,Kaposi's sarcoma-associated herpesvirus,Macaca mulatta polyomavirus 1	3	Specific
TUBA4A	Dengue virus 2,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 31,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus	6	Specific
TUBA4B	Lymphocytic choriomeningitis virus	1	Specific
TUBA8	Human immunodeficiency virus 1,Influenza A virus (H1N1)	2	Specific
TUBAL3	Dengue virus 2,Influenza A virus (H1N1)	2	Specific
TUBB	Dengue virus 2,Ebola virus,Epstein-Barr virus,Hepatitis C virus,Hepatitis E virus,Human cytomegalovirus,Human herpesvirus 1,Human immunodeficiency virus 1,Human parainfluenza virus 2,Influenza A virus (H1N1),Influenza A virus (H5N1),La Crosse virus,Lake Victoria marburgvirus ,Lymphocytic choriomeningitis virus,Mammalian orthoreovirus 1,Mammalian orthoreovirus 3,Measles virus ,Murid herpesvirus 1,Newcastle disease virus,Nipah virus,Rift valley fever virus,Sandfly fever sicilian virus,Vaccinia virus	23	Pan
TUBB1	Dengue virus 2,Hepatitis C virus,Human papillomavirus 31	3	Specific
TUBB2A	Hepatitis C virus,Hepatitis E virus,Human immunodeficiency virus 1,Human immunodeficiency virus 2,Human papillomavirus 16,Influenza A virus (H1N1),La Crosse virus,Lymphocytic choriomeningitis virus,Measles virus ,Vaccinia virus	10	Specific
TUBB2B	Human immunodeficiency virus 1,Human immunodeficiency virus 2,Measles virus ,Vaccinia virus	4	Specific
TUBB3	Human immunodeficiency virus 1,Influenza A virus (H1N1),Measles virus ,Rift valley fever virus,Zika virus	5	Specific
TUBB4A	Human immunodeficiency virus 1,Human immunodeficiency virus 2,Influenza A virus (H1N1),Influenza A virus (H3N2),Measles virus ,Rift valley fever virus,Zika virus	7	Specific
TUBB4B	Dengue virus 2,Hepatitis C virus,Human immunodeficiency virus 1,Human papillomavirus 5,Human respiratory syncytial virus,Influenza A virus (H1N1),Influenza A virus (H5N1),La Crosse virus,Lymphocytic choriomeningitis virus,Measles virus ,Murid herpesvirus 1,Newcastle disease virus,Rift valley fever virus,Vaccinia virus	14	Specific
TUBB6	Dengue virus 2,Human immunodeficiency virus 2,Influenza A virus (H1N1),La Crosse virus,Measles virus 	5	Specific
TUBB8	Human papillomavirus 31,Vaccinia virus	2	Specific
TUBB8B	Human papillomavirus 31,Vaccinia virus	2	Specific
TUBG2	Human cytomegalovirus	1	Specific
TUBGCP2	Influenza A virus (H1N1),MERS-CoV,SARS-CoV-1,SARS-CoV-2	4	Specific
TUBGCP3	Influenza A virus (H1N1),SARS-CoV-1,SARS-CoV-2	3	Specific
TUBGCP5	Influenza A virus (H1N1)	1	Specific
TUBGCP6	Epstein-Barr virus,Human cytomegalovirus	2	Specific
TUFM	Ebola virus,Hepatitis C virus,Human immunodeficiency virus 1,Human respiratory syncytial virus,Influenza A virus (H1N1),Influenza A virus (H7N9),Lymphocytic choriomeningitis virus,Measles virus ,Murid herpesvirus 1	9	Specific
TULP3	Human immunodeficiency virus 1	1	Specific
TUSC3	Hepatitis delta virus,Human immunodeficiency virus 1,SARS-CoV-1,SARS-CoV-2	4	Specific
TUT1	SARS-CoV-1,SARS-CoV-2	2	Specific
TUT7	Human cytomegalovirus,Human papillomavirus 31,MERS-CoV,Zika virus	4	Specific
TVP23C	Macaca mulatta polyomavirus 1	1	Specific
TWF1	Human cytomegalovirus	1	Specific
TWF2	Human cytomegalovirus	1	Specific
TWIST1	Hepatitis C virus	1	Specific
TWISTNB	Human papillomavirus 39	1	Specific
TWNK	Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	2	Specific
TXLNA	SARS-CoV-2	1	Specific
TXN	Hepatitis C virus,Human papillomavirus 8,Influenza A virus (H1N1),Measles virus 	4	Specific
TXNDC11	Epstein-Barr virus,Hepatitis C virus,Human cytomegalovirus,Human immunodeficiency virus 1,Kaposi's sarcoma-associated herpesvirus,SARS-CoV-2	6	Specific
TXNDC12	Human cytomegalovirus	1	Specific
TXNDC16	SARS-CoV-2	1	Specific
TXNDC17	Human cytomegalovirus	1	Specific
TXNDC5	Hepatitis C virus,Human immunodeficiency virus 1,Human papillomavirus 16,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,SARS-CoV-2	6	Specific
TXNDC9	Alkhumra hemorrhagic fever virus,Human cytomegalovirus,Influenza A virus (H1N1),Influenza A virus (H5N1),Tick-borne encephalitis virus	5	Specific
TXNIP	Human cytomegalovirus,Human herpesvirus 1,Influenza A virus (H3N2)	3	Specific
TXNL1	Human cytomegalovirus	1	Specific
TXNRD1	MERS-CoV	1	Specific
TYK2	Canine distemper virus,Human papillomavirus 11,Human papillomavirus 18,Measles virus ,Peste-des-petits-ruminants virus,Rinderpest virus,Tick-borne encephalitis virus	7	Specific
TYMP	Human cytomegalovirus	1	Specific
TYMS	Human papillomavirus 31,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	3	Specific
TYRO3	Macaca mulatta polyomavirus 1	1	Specific
TYSND1	Human immunodeficiency virus 1,SARS-CoV-1,SARS-CoV-2	3	Specific
TYW1	SARS-CoV-1,SARS-CoV-2	2	Specific
U2AF1	Human herpesvirus 1,Human immunodeficiency virus 1,Influenza A virus (H1N1)	3	Specific
U2AF2	Human papillomavirus 31,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus	3	Specific
U2SURP	Dengue virus 2,Hepatitis E virus,Human papillomavirus 31,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Zika virus	6	Specific
UACA	Dengue virus 2,Human papillomavirus 1a,Human papillomavirus 39,Human papillomavirus 5,Human papillomavirus 8,Human papillomavirus 9,SARS-CoV-1	7	Specific
UAP1	Influenza A virus (H1N1)	1	Specific
UAP1L1	Human cytomegalovirus	1	Specific
UBA1	Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 1a,Human papillomavirus 3,Human papillomavirus 33,Human papillomavirus 5,Human papillomavirus 6,Human papillomavirus 8,Human papillomavirus 9,Influenza A virus (H1N1)	11	Specific
UBA3	Hepatitis C virus	1	Specific
UBA52	Human immunodeficiency virus 1,Murid herpesvirus 4	2	Specific
UBA6	Human cytomegalovirus	1	Specific
UBAC1	Human cytomegalovirus,Human papillomavirus 16,Macaca mulatta polyomavirus 1,Murid herpesvirus 4	4	Specific
UBAC2	Dengue virus 2,Epstein-Barr virus,Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,Influenza A virus (H1N1)	8	Specific
UBAP1	Murid herpesvirus 4	1	Specific
UBAP2	Human immunodeficiency virus 1,SARS-CoV-2	2	Specific
UBAP2L	Dengue virus 2,Human immunodeficiency virus 1,Human papillomavirus 31,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,SARS-CoV-2	6	Specific
UBASH3A	Hepatitis C virus,Human immunodeficiency virus 1	2	Specific
UBASH3B	Epstein-Barr virus,Murine hepatitis virus	2	Specific
UBB	Hepatitis E virus,Human immunodeficiency virus 1,Human immunodeficiency virus 2,Human papillomavirus 16,Human papillomavirus 9,Influenza A virus (H1N1)	6	Specific
UBC	Epstein-Barr virus,Human cytomegalovirus,Human herpesvirus 1,Human immunodeficiency virus 1,Human immunodeficiency virus 2,Influenza A virus (H3N2),Kaposi's sarcoma-associated herpesvirus,Vaccinia virus	8	Specific
UBD	Hepatitis C virus,Human immunodeficiency virus 1	2	Specific
UBE2A	Epstein-Barr virus,Human papillomavirus 16,Human papillomavirus 5,Human papillomavirus 6b	4	Specific
UBE2C	Human papillomavirus 1a,Human papillomavirus 9,Measles virus 	3	Specific
UBE2D1	Human cytomegalovirus,Human herpesvirus 1,Kaposi's sarcoma-associated herpesvirus	3	Specific
UBE2D2	Human immunodeficiency virus 1	1	Specific
UBE2E1	Human herpesvirus 1	1	Specific
UBE2F	Human immunodeficiency virus 1	1	Specific
UBE2G2	Hepatitis C virus,Human cytomegalovirus,Human papillomavirus 31,Influenza A virus (H1N1),SARS-CoV-1,SARS-CoV-2	6	Specific
UBE2H	Human cytomegalovirus	1	Specific
UBE2I	Deltapapillomavirus 4,Dengue virus 2,Epstein-Barr virus,Human adenovirus C,Human herpesvirus 6,Human immunodeficiency virus 1,Human papillomavirus 16,Human T-cell leukemia virus 1,Influenza A virus (H1N1),Influenza A virus (H3N2),Kaposi's sarcoma-associated herpesvirus,Murid herpesvirus 4	12	Specific
UBE2J1	SARS-CoV-2	1	Specific
UBE2K	Human papillomavirus 39	1	Specific
UBE2L3	Human cytomegalovirus	1	Specific
UBE2L6	Human cytomegalovirus,Human herpesvirus 1,Vaccinia virus	3	Specific
UBE2M	Epstein-Barr virus,Influenza A virus (H1N1)	2	Specific
UBE2N	Human cytomegalovirus	1	Specific
UBE2O	Hepatitis C virus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	4	Specific
UBE2Q2	Human papillomavirus 32,Human papillomavirus 6	2	Specific
UBE2R2	Human papillomavirus 31	1	Specific
UBE2S	Hepatitis C virus,Human cytomegalovirus,Measles virus 	3	Specific
UBE2T	Human papillomavirus 39	1	Specific
UBE2V1	Human cytomegalovirus,Human herpesvirus 1	2	Specific
UBE3A	Deltapapillomavirus 4,Dengue virus 2,Human cytomegalovirus,Human papillomavirus 10,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 3,Human papillomavirus 31,Human papillomavirus 33,Human papillomavirus 6,Human papillomavirus 6b,SARS-CoV-2,Vaccinia virus	14	Specific
UBE3C	Human cytomegalovirus,Human respiratory syncytial virus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,SARS-CoV-1,SARS-CoV-2	6	Specific
UBE4A	HCoV-229E,Influenza A virus (H1N1)	2	Specific
UBFD1	Human cytomegalovirus	1	Specific
UBIAD1	Human papillomavirus 6b,Influenza A virus (H1N1),SARS-CoV-2	3	Specific
UBL3	SARS-CoV-1,SARS-CoV-2	2	Specific
UBL4A	Epstein-Barr virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 31,Influenza A virus (H1N1),MERS-CoV	6	Specific
UBLCP1	Human cytomegalovirus	1	Specific
UBN1	Epstein-Barr virus,Human papillomavirus 8,Kaposi's sarcoma-associated herpesvirus	3	Specific
UBN2	Kaposi's sarcoma-associated herpesvirus,Murid herpesvirus 4	2	Specific
UBP1	Kaposi's sarcoma-associated herpesvirus	1	Specific
UBQLN1	Epstein-Barr virus,HCoV-NL63,Hepatitis C virus,Human papillomavirus 11,Human papillomavirus 31,SARS-CoV-2	6	Specific
UBQLN2	Human papillomavirus 31	1	Specific
UBQLN4	Chikungunya virus,Hepatitis C virus,Human papillomavirus 31,Sindbis virus	4	Specific
UBR1	Human cytomegalovirus,Human papillomavirus 31	2	Specific
UBR2	Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 31,Human papillomavirus 9,Kaposi's sarcoma-associated herpesvirus	5	Specific
UBR4	Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 31,Human papillomavirus 5,Human papillomavirus 6b,Human papillomavirus 8,Influenza A virus (H1N1),SARS-CoV-1	11	Specific
UBR5	Adeno-associated virus 2,Dengue virus 2,Epstein-Barr virus,Hepatitis C virus,Human cytomegalovirus,Human herpesvirus 6,Human papillomavirus 16,Human papillomavirus 31,Human papillomavirus 8,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),MERS-CoV	13	Specific
UBR7	Influenza A virus (H3N2)	1	Specific
UBTD1	Influenza A virus (H1N1)	1	Specific
UBTF	Human immunodeficiency virus 1,Human papillomavirus 31,Influenza A virus (H1N1),Macaca mulatta polyomavirus 1,SARS-CoV-2	5	Specific
UBXN1	Human cytomegalovirus,Influenza A virus (H1N1)	2	Specific
UBXN11	Epstein-Barr virus	1	Specific
UBXN2A	Dengue virus 2	1	Specific
UBXN8	SARS-CoV-2	1	Specific
UCHL1	Human cytomegalovirus,SARS-CoV-2	2	Specific
UCHL3	Human cytomegalovirus	1	Specific
UCHL5	Epstein-Barr virus,Human papillomavirus 31,Influenza A virus (H1N1),SARS-CoV-2	4	Specific
UCK2	Influenza A virus (H1N1)	1	Specific
UCKL1	Epstein-Barr virus	1	Specific
UCP3	Influenza A virus (H3N2)	1	Specific
UFD1	Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 31,Human papillomavirus 6b,SARS-CoV-1	5	Specific
UFL1	Dengue virus 2,Influenza A virus (H1N1),Measles virus ,Zika virus	4	Specific
UFM1	Human cytomegalovirus	1	Specific
UGCG	Epstein-Barr virus,Human cytomegalovirus,SARS-CoV-2	3	Specific
UGDH	Human papillomavirus 31,Influenza A virus (H1N1)	2	Specific
UGGT1	Dengue virus 2,Hepatitis C virus,Human immunodeficiency virus 1,Influenza A virus (H1N1),SARS-CoV-1,SARS-CoV-2	6	Specific
UGGT2	Epstein-Barr virus,Human cytomegalovirus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,SARS-CoV-2	5	Specific
UGT1A1	Hepatitis C virus,Influenza A virus (H1N1)	2	Specific
UGT1A4	Hepatitis C virus	1	Specific
UGT1A6	Hepatitis B virus,Influenza A virus (H1N1)	2	Specific
UGT1A9	Influenza A virus (H1N1)	1	Specific
UGT8	Hepatitis C virus,SARS-CoV-2,Zika virus	3	Specific
UHRF1	Epstein-Barr virus,Human cytomegalovirus	2	Specific
UHRF1BP1L	SARS-CoV-1	1	Specific
UIMC1	Murid herpesvirus 4	1	Specific
ULBP2	Human cytomegalovirus,Influenza A virus (H1N1)	2	Specific
ULBP3	Human cytomegalovirus	1	Specific
UMPS	Human cytomegalovirus,SARS-CoV-2	2	Specific
UNC119	Human herpesvirus 1,Human papillomavirus 18	2	Specific
UNC119B	Human cytomegalovirus,Human papillomavirus 8,Zika virus	3	Specific
UNC13A	Influenza A virus (H1N1)	1	Specific
UNC13B	Influenza A virus (H1N1)	1	Specific
UNC13D	HCoV-229E	1	Specific
UNC45A	Dengue virus 2,Human immunodeficiency virus 1,Human papillomavirus 31,Human respiratory syncytial virus,Influenza A virus (H1N1)	5	Specific
UNC50	Dengue virus 2,Human papillomavirus 31,SARS-CoV-2	3	Specific
UNC93B1	Epstein-Barr virus,Human papillomavirus 18,Human papillomavirus 6b,SARS-CoV-1,SARS-CoV-2	5	Specific
UNG	Human immunodeficiency virus 1,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,Vaccinia virus	4	Specific
UNK	MERS-CoV	1	Specific
UPF1	Classical swine fever virus,Epstein-Barr virus,Human adenovirus C,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Porcine reproductive and respiratory syndrome virus,SARS-CoV-2	8	Specific
UPF3A	Influenza A virus (H1N1)	1	Specific
UPF3B	Human cytomegalovirus	1	Specific
UPK1B	Hepatitis delta virus,SARS-CoV-1,SARS-CoV-2	3	Specific
UPK3B	SARS-CoV-2	1	Specific
UPP1	Epstein-Barr virus,Human papillomavirus 18,Human papillomavirus 5	3	Specific
UPRT	Epstein-Barr virus	1	Specific
UQCC1	SARS-CoV-1,Zika virus	2	Specific
UQCC2	SARS-CoV-1,Zika virus	2	Specific
UQCR10	Influenza A virus (H1N1)	1	Specific
UQCR11	Human papillomavirus 18	1	Specific
UQCRB	Zika virus	1	Specific
UQCRC1	Human papillomavirus 18,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,Measles virus 	4	Specific
UQCRC2	Dengue virus 2,Human immunodeficiency virus 2,Human papillomavirus 31,Human papillomavirus 39,Influenza A virus (H1N1),Influenza A virus (H3N2),Measles virus 	7	Specific
UQCRH	Dengue virus 2,Ebola virus,Influenza A virus (H1N1)	3	Specific
UQCRQ	Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	2	Specific
URB1	Influenza A virus (H1N1),MERS-CoV,SARS-CoV-2	3	Specific
URB2	MERS-CoV,SARS-CoV-2	2	Specific
URI1	Human papillomavirus 31,Kaposi's sarcoma-associated herpesvirus,Vaccinia virus	3	Specific
UROD	Human cytomegalovirus	1	Specific
UROS	Influenza A virus (H1N1)	1	Specific
USE1	Dengue virus 2,Hepatitis delta virus,Human cytomegalovirus,Zika virus	4	Specific
USF1	Human adenovirus C,Human papillomavirus 8	2	Specific
USF2	Human papillomavirus 31	1	Specific
USH1C	Human papillomavirus 11,Human papillomavirus 6b,Human papillomavirus 8	3	Specific
USHBP1	Epstein-Barr virus,Hepatitis C virus,Human herpesvirus 1,Influenza A virus (H1N1),Influenza A virus (H3N2)	5	Specific
USO1	Epstein-Barr virus,Human papillomavirus 8,SARS-CoV-1	3	Specific
USP1	Human cytomegalovirus,Human papillomavirus 31	2	Specific
USP10	Epstein-Barr virus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	3	Specific
USP11	Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 31,Influenza A virus (H1N1)	5	Specific
USP12	Human cytomegalovirus,Human papillomavirus 31	2	Specific
USP13	MERS-CoV,SARS-CoV-1,SARS-CoV-2	3	Specific
