Gene	Virus	Virus_num	Virally_targeted
ALDH9A1	MERS-CoV	1	Specific
ALDOA	Influenza A virus (H1N1),Influenza A virus (H3N2),Lymphocytic choriomeningitis virus	3	Specific
ALDOB	Hepatitis B virus,Hepatitis E virus,SARS-CoV-2	3	Specific
ALG1	Dengue virus 2,Epstein-Barr virus,Human papillomavirus 11,Human papillomavirus 18,Human papillomavirus 6b,Influenza A virus (H1N1),Measles virus 	7	Specific
ALG10	Dengue virus 2	1	Specific
ALG11	SARS-CoV-1,SARS-CoV-2	2	Specific
ALG13	Hepatitis C virus,SARS-CoV-1,SARS-CoV-2	3	Specific
ALG14	SARS-CoV-1,SARS-CoV-2	2	Specific
ALG2	Zika virus	1	Specific
ALG3	Hepatitis delta virus	1	Specific
ALG5	Epstein-Barr virus,SARS-CoV-1,SARS-CoV-2	3	Specific
ALG6	SARS-CoV-1,SARS-CoV-2	2	Specific
ALG8	SARS-CoV-1,SARS-CoV-2,Zika virus	3	Specific
ALG9	Human cytomegalovirus	1	Specific
ALMS1	Human immunodeficiency virus 1,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1)	4	Specific
ALOX12B	Human cytomegalovirus	1	Specific
ALPL	Human papillomavirus 16	1	Specific
ALS2CL	Hepatitis E virus	1	Specific
ALYREF	Kaposi's sarcoma-associated herpesvirus	1	Specific
AMBP	Hepatitis C virus,Hepatitis E virus,Kunjin virus 	3	Specific
AMBRA1	Human immunodeficiency virus 1,Influenza A virus (H1N1),SARS-CoV-1	3	Specific
AMD1	Influenza A virus (H1N1)	1	Specific
AMER1	Dengue virus 2,Hepatitis C virus	2	Specific
AMFR	Dengue virus 2,Human papillomavirus 11,Human papillomavirus 16,SARS-CoV-1	4	Specific
AMIGO2	Influenza A virus (H1N1),SARS-CoV-1,SARS-CoV-2	3	Specific
AMMECR1L	Hepatitis C virus	1	Specific
AMOT	Dengue virus 2,Hepatitis C virus,Human immunodeficiency virus 1,Human respiratory syncytial virus	4	Specific
AMOTL2	Human adenovirus C,Human respiratory syncytial virus	2	Specific
AMPD2	Human cytomegalovirus,Human papillomavirus 31,Kaposi's sarcoma-associated herpesvirus	3	Specific
ANAPC1	Human immunodeficiency virus 1,Human papillomavirus 31	2	Specific
ANAPC10	Kaposi's sarcoma-associated herpesvirus	1	Specific
ANAPC13	Influenza A virus (H3N2)	1	Specific
ANAPC15	Hepatitis C virus	1	Specific
ANAPC16	Kaposi's sarcoma-associated herpesvirus	1	Specific
ANAPC2	Human immunodeficiency virus 1	1	Specific
ANAPC5	Dengue virus 2,Human papillomavirus 16,Kaposi's sarcoma-associated herpesvirus	3	Specific
ANAPC7	Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 16,Influenza A virus (H1N1)	4	Specific
ANGEL1	Influenza A virus (H1N1)	1	Specific
ANGEL2	Influenza A virus (H1N1),Influenza A virus (H3N2)	2	Specific
ANGPT4	Influenza B virus,SARS-CoV-2	2	Specific
ANGPTL1	Influenza B virus	1	Specific
ANGPTL2	Human immunodeficiency virus 1	1	Specific
ANK2	Human herpesvirus 1,Influenza A virus (H1N1)	2	Specific
