Gene	Virus	Abbre	Baltimore	Family
CAMK2B	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
FIGNL1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RPS2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RPS25	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ACAD11	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TIMM8B	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RPS27	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
PDS5A	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
KPNA3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
PHB	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SFI1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
HSP90AB1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SFXN4	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SLC16A1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GRSF1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
CYC1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
IPO7	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
IVNS1ABP	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
JAK1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
KPNB1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ATG9A	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
LMBR1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ATP1B3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
PSMC6	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
FRG1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
FN1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ATP5PB	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
UACA	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
UNC50	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ATR	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ATP5PO	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NCLN	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
DHX30	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
DHX15	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TAX1BP1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
DHX36	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TAF8	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
BZW2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
DNAJC11	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
OTUD4	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ECI2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TIMM44	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
STK11IP	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
STT3A	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MRPS34	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
