Virus	Abbre	Carrier	Carrier TaxId	Carrier Taxa
Lymphocytic choriomeningitis virus	LCMV	apodemus mystacinus	100382	rodents
Lymphocytic choriomeningitis virus	LCMV	microtus pennsylvanicus	10058	rodents
Lymphocytic choriomeningitis virus	LCMV	ixodes persulcatus	34615	invertebrates
Lymphocytic choriomeningitis virus	LCMV	microtus agrestis	29092	rodents
Lymphocytic choriomeningitis virus	LCMV	sciurus vulgaris	55149	rodents
Lymphocytic choriomeningitis virus	LCMV	arvicola scherman	1276134	 
Lymphocytic choriomeningitis virus	LCMV	apodemus agrarius	39030	rodents
Lymphocytic choriomeningitis virus	LCMV	dermacentor nuttalli	1046038	 
Lymphocytic choriomeningitis virus	LCMV	panthera leo	9689	mammals
Lymphocytic choriomeningitis virus	LCMV	micromys minutus	13151	rodents
Measles virus	MV	homo sapiens	9606	primates
Measles virus	MV	chlorocebus sabaeus	60711	primates
Measles virus	MV	macaca fascicularis	9541	primates
Measles virus	MV	macaca mulatta	9544	primates
Measles virus	MV	chlorocebus aethiops	9534	primates
Measles virus	MV	phoca vitulina	9720	mammals
Measles virus	MV	sigmodon hispidus	42415	rodents
Measles virus	MV	tupaia chinensis	246437	mammals
Measles virus	MV	panthera pardus	9691	mammals
Measles virus	MV	macaca fuscata	9542	primates
Measles virus	MV	pusa sibirica	9719	mammals
Measles virus	MV	macaca radiata	9548	primates
Measles virus	MV	aotus trivirgatus	9505	primates
Measles virus	MV	saimiri sciureus	9521	primates
Measles virus	MV	martes pennanti	76720	mammals
Measles virus	MV	mesocricetus auratus	10036	rodents
Measles virus	MV	semnopithecus entellus	88029	primates
Measles virus	MV	procyon lotor	9654	mammals
Measles virus	MV	aotus azarai	30591	primates
Measles virus	MV	gorilla beringei	499232	primates
Measles virus	MV	pusa caspica	693431	mammals
Measles virus	MV	colobus guereza	33548	primates
Measles virus	MV	panthera leo	9689	mammals
Measles virus	MV	callithrix jacchus	9483	primates
Measles virus	MV	rattus norvegicus	10116	rodents
Measles virus	MV	saguinus labiatus	78454	primates
Measles virus	MV	trachypithecus cristatus	122765	primates
Measles virus	MV	panthera tigris	9694	mammals
Measles virus	MV	saguinus mystax	9488	primates
MERS-CoV	MERS-CoV	homo sapiens	9606	primates
MERS-CoV	MERS-CoV	alces americanus	999462	mammals
MERS-CoV	MERS-CoV	pipistrellus abramus	105295	mammals
MERS-CoV	MERS-CoV	chlorocebus aethiops	9534	primates
MERS-CoV	MERS-CoV	camelus bactrianus	9837	mammals
MERS-CoV	MERS-CoV	mesocricetus auratus	10036	rodents
MERS-CoV	MERS-CoV	vespertilio sinensis	105273	mammals
MERS-CoV	MERS-CoV	tylonycteris pachypus	258959	mammals
MERS-CoV	MERS-CoV	miniopterus magnater	438766	mammals
MERS-CoV	MERS-CoV	desmodus rotundus	9430	mammals
MERS-CoV	MERS-CoV	pipistrellus kuhlii	59472	mammals
MERS-CoV	MERS-CoV	procyon lotor	9654	mammals
MERS-CoV	MERS-CoV	tadarida teniotis	59483	mammals
MERS-CoV	MERS-CoV	artibeus jamaicensis	9417	mammals
MERS-CoV	MERS-CoV	hypsugo savii	109485	mammals
MERS-CoV	MERS-CoV	plecotus auritus	61862	mammals
MERS-CoV	MERS-CoV	ia io	360967	mammals
MERS-CoV	MERS-CoV	tadarida brasiliensis	9438	mammals
MERS-CoV	MERS-CoV	paguma larvata	9675	mammals
MERS-CoV	MERS-CoV	nyctereutes procyonoides	34880	mammals
MERS-CoV	MERS-CoV	miniopterus fuliginosus	187007	mammals
MERS-CoV	MERS-CoV	rousettus aegyptiacus	9407	mammals
MERS-CoV	MERS-CoV	macaca mulatta	9544	primates
MERS-CoV	MERS-CoV	pipistrellus pipistrellus	59474	mammals
MERS-CoV	MERS-CoV	vicugna pacos	30538	mammals
MERS-CoV	MERS-CoV	triaenops afer	549403	mammals
MERS-CoV	MERS-CoV	erinaceus europaeus	9365	mammals
MERS-CoV	MERS-CoV	lama glama	9844	mammals
MERS-CoV	MERS-CoV	rousettus leschenaultii	9408	mammals
